,labels,headline
8714,2,david crosby shows photo of dwarven blacksmith to barber to give idea of what he wants
13091,2,'new york times' moves all content you won't give a shit about unless you make at least $200k a year into one convenient section
2878,0,scientists isolate area of brain that doesn't like poking
8609,0,"jesus announces plans to return once the dow clears 27,000"
10757,2,biden pins up guitar lesson flyers on white house bulletin board
4086,1,pieces of bread really starting to pile up for overworked duck
7290,1,report: uttering phrase 'easy does it' prevents 78% of drywall damage while moving furniture
6253,2,class clown has nothing on wilmot proviso
9246,2,obama increases sense of urgency by riding last white rhino on earth through climate talk
12279,2,doug jones thanks child bride during victory speech
2004,0,tammys of the world demand to be taken seriously
150,2,monocle-wearing oil baron's cigarette holder splinters in clenched teeth after hearing bernie sanders' environmental platform
12938,2,trump boys proud after mailing in hand-drawn republican ballots to north pole
6335,2,populist candidate gaining support among underrepresented corporations
5983,0,ivy-covered home like that on inside too
7098,0,nasa acquires moon for kennedy space center exhibit
10561,0,hero cop receives hero's lap dance
7251,2,"report: gen x irony, cynicism may be permanently obsolete"
346,0,atonal composers gather for atony awards
959,2,dunbar family forced to discontinue print edition of christmas newsletter
4574,0,open floor plan increases office shooter's productivity by 95%
7615,2,rnc attendee excited to find out what he'll get to boo tonight
9177,2,shell assures nation most arctic wildlife to go extinct well before next spill
2999,2,convention crowd really hoping bill clinton breaks tension with joke about how terrible he looks
1224,2,"'the investigation ends now,' growls shadow counsel holding mueller by throat at top of washington monument"
3209,0,"hootie and the blowfish: breaking down racial barriers between black, white pussies"
2471,2,man wishes there were some kind of pre-midterm race where voters could select better candidates
1377,0,pier 1 imports unveils new self-defense vase for smashing onto head of home invader
10307,2,"radicals, extremists vie for control of iran"
3630,0,report: majority of ufo abductions committed by alien that person knows
3840,2,defiant mitch mcconnell holds merrick garland's severed head aloft in front of capitol building
11,0,new york introduces shoe-sharing program for city's pedestrians
6544,0,lottery winner burns money in faces of poor children
8815,0,"financial planners suggest spending one evening each week ripping apart walls, floorboards in search for cash"
11842,2,t-mobile announces wireless service now covers 70% of your apartment
7465,2,clinton tosses unpledged superdelegate in trunk of car
2445,0,fraternity brothers make note not to kill pledge whose family has lake house
6773,2,"et, access hollywood, tmz choppers hovering above scene of gruesome red carpet dress"
5460,2,trump announces plan to replace food stamps with new low-income foraging program
9145,2,eric trump poses with carcass of safari guide shot on african hunting trip
10572,0,diners eating impossible burgers doused with beet juice by protesting meat-rights activists
1346,0,god admits heaven was way cooler in the '70s
5058,2,trump touts success of singapore summit after securing $10 billion trade deal to sell nuclear warheads to north korea
5085,2,clive cussler realizes latest novel not thrilling 3 hours after sending it to printer
9496,0,latest jihad has something for everyone
6915,2,nate silver defends torture methods used to make election projections
4834,2,fox cancels apatow's 40-year-old virgin
8320,0,american dental association recommends teeth
2641,0,report: ground still least desirable surface for breaking fall
11377,0,45 million gallons of crude blood lost in red cross pipeline rupture
5290,0,report: crane operator last remaining fulfilling occupation in u.s.
4892,0,priest regrets vow of celibacy after learning about furries
6379,0,half of hollywood test group screened placebo film
349,0,maple tree wishes it was given a say in becoming memorial to man's dead wife
1682,0,'piggies' written in blood on clouds only clue in shocking murder of six angels
137,0,dhs announces racial profiling free-for-all this sept. 11
5001,0,father spends joyful afternoon throwing son around backyard
10588,0,food network goes off air after every possible iteration of ingredient combinations completed
12687,0,pepsico marketing mix-up results in $300 million lemon-lime doritos campaign
1975,0,bored god tries to fit all of jupiter in mouth
2525,0,baby takes political stance
584,0,delayed rocket launch causes astronaut to miss connecting flight
4129,0,flight attendant quietly informs first class passengers where real emergency exits are
3873,0,sexually awakened peta president announces that being kept in a tiny cage all day actually sounds hot as hell
1066,0,proposed legislation offers citizenship to immigrants who can play piano so good it makes everyone cry
7745,0,fda: everyone needs to induce vomiting right now
5081,0,street-smart teen dies in library
8994,0,"win a $10,000 mall of america dream shooting spree!"
7076,0,report: american dream now an out-of-court settlement
3092,0,albanian village bombed forward into stone age
12716,0,pyramid scheme 'not a pyramid scheme'
13116,0,texas environmentalists lobby for solar-powered electric chair
7926,0,fermilab receives generous anonymous particle donation
4735,0,hanes introduces new no-way panties
11350,0,fbi tracks down elusive picture-disc version of herb alpert's 'whipped cream and other delights'
5668,0,trojan unveils new 3-piece formal condoms
3377,0,"stan lee, creator of beloved marvel character stan lee, dead at 95"
5823,0,pfizer mercifully puts down another batch of trial patients
10116,0,cern researchers apologize for destruction of 5 parallel universes in recent experiment
4870,0,"'just take it slow, and you'll be fine,' drunk driver assures self while speeding away in stolen police car"
854,0,vince gilligan's brain spoils final season of 'breaking bad' for vince gilligan
